Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
85655-40199,PF/SF,Giannis,Giannis Antetokounmpo,Antetokounmpo,56.474998474121094,32,12000,CHA@MIL,MIL,CHA,GTD,Knee,,,,SF/PF
85655-49111,C,Joel,Joel Embiid,Embiid,56.857142857142854,28,11500,CHI@PHI,PHI,CHI,O,Foot,,,,C
85655-55062,C,Nikola,Nikola Jokic,Jokic,54.97428501674107,35,11300,CLE@DEN,DEN,CLE,,,,,,C
85655-9488,SF/PF,LeBron,LeBron James,James,50.47586375269397,29,11200,ATL@LAL,LAL,ATL,GTD,Ankle,,,,SF/PF
85655-15755,PF/C,Anthony,Anthony Davis,Davis,54.2960009765625,25,10900,ATL@LAL,LAL,ATL,O,Foot,,,,PF/C
85655-9646,SF/PF,Kevin,Kevin Durant,Durant,49.659460119298984,37,10600,BKN@NO,BKN,NO,,,,,,SF/PF
85655-9644,SG/PG,James,James Harden,Harden,48.2909102006392,22,10200,CHI@PHI,PHI,CHI,,,,,,PG/SG
85655-42669,PF/C,Julius,Julius Randle,Randle,42.67436022636218,39,10100,NY@TOR,NY,TOR,,,,,,PF/C
85655-84680,SG/PG,Shai,Shai Gilgeous-Alexander,Gilgeous-Alexander,49.994119083180145,34,10000,WAS@OKC,OKC,WAS,,,,,,PG/SG
85655-145337,PG/SG,Tyrese,Tyrese Haliburton,Haliburton,44.564865524704395,37,9700,POR@IND,IND,POR,,,,,,PG/SG
85655-145485,PG,LaMelo,LaMelo Ball,Ball,44.6066650390625,15,9600,CHA@MIL,CHA,MIL,,,,,,PG
85655-60021,C/PF,Pascal,Pascal Siakam,Siakam,47.47857230050223,28,9600,NY@TOR,TOR,NY,,,,,,PF/C
85655-84671,PG,Trae,Trae Young,Young,44.458822811351105,34,9500,ATL@LAL,ATL,LAL,,,,,,PG
85655-110310,PF,Zion,Zion Williamson,Williamson,42.789656014278016,29,9500,BKN@NO,NO,BKN,O,Hamstring,,,,PF
85655-66113,SG/PG,Donovan,Donovan Mitchell,Mitchell,43.494287109375,35,9400,CLE@DEN,CLE,DEN,O,Rest,,,,PG/SG
85655-12341,SG/SF,Paul,Paul George,George,41.026668294270834,30,9300,LAC@MIN,LAC,MIN,GTD,Hamstring,,,,SG/SF
85655-58460,SG,Devin,Devin Booker,Booker,42.38965685614224,29,9300,MIA@PHO,PHO,MIA,O,Groin,,,,SG
85655-63122,C/PF,Kristaps,Kristaps Porzingis,Porzingis,42.37428501674107,35,9300,WAS@OKC,WAS,OKC,,,,,,PF/C
85655-20848,PG,Damian,Damian Lillard,Lillard,43.347998046875,25,9100,POR@IND,POR,IND,,,,,,PG
85655-80817,C/PF,Bam,Bam Adebayo,Adebayo,40.98857073102678,35,9100,MIA@PHO,MIA,PHO,,,,,,PF/C
85655-9714,SG/SF,DeMar,DeMar DeRozan,DeRozan,42.59736713610197,38,9100,CHI@PHI,CHI,PHI,,,,,,SG/SF
85655-14528,SF/PF,Jimmy,Jimmy Butler,Butler,43.412001953125,25,9000,MIA@PHO,MIA,PHO,,,,,,SF/PF
85655-58462,PF/C,Karl-Anthony,Karl-Anthony Towns,Towns,39.709524972098215,21,8900,LAC@MIN,MIN,LAC,O,Calf,,,,PF/C
85655-14498,PG/SG,Kyrie,Kyrie Irving,Irving,41.82856968470982,28,8900,BKN@NO,BKN,NO,,,,,,PG/SG
85655-145321,SG/SF,Anthony,Anthony Edwards,Edwards,41.82051282051282,39,8800,LAC@MIN,MIN,LAC,,,,,,SG/SF
85655-67708,SG/PG,Dejounte,Dejounte Murray,Murray,40.51818107836174,33,8700,ATL@LAL,ATL,LAL,,,,,,PG/SG
85655-14513,SF/PF,Kawhi,Kawhi Leonard,Leonard,31.441176470588236,17,8700,LAC@MIN,LAC,MIN,GTD,Knee,,,,SF/PF
85655-24247,PG,Fred,Fred VanVleet,VanVleet,37.23666585286458,30,8500,NY@TOR,TOR,NY,,,,,,PG
85655-19067,PG/SG,CJ,CJ McCollum,McCollum,37.07941032858456,34,8400,BKN@NO,NO,BKN,,,,,,PG/SG
85655-9623,PG,Chris,Chris Paul,Paul,34.7839990234375,25,8300,MIA@PHO,PHO,MIA,,,,,,PG
85655-15595,SG,Bradley,Bradley Beal,Beal,36.8999989827474,24,8200,WAS@OKC,WAS,OKC,O,Hamstring,,,,SG
85655-14514,C,Nikola,Nikola Vucevic,Vucevic,36.421052631578945,38,8100,CHI@PHI,CHI,PHI,,,,,,C
