Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
79963-89675,RB,Jonathan,Jonathan Taylor,Taylor,20.770588594324447,17,10200,IND@HOU,IND,HOU,,,,,,RB/FLEX
79963-39280,RB,Derrick,Derrick Henry,Henry,21.833333333333332,9,9700,NYG@TEN,TEN,NYG,,,,,,RB/FLEX
79963-79970,WR,Cooper,Cooper Kupp,Kupp,22.180951799665177,21,9500,BUF@LAR,LAR,BUF,,,,,,WR/FLEX
79963-55050,RB,Christian,Christian McCaffrey,McCaffrey,15.571428571428571,7,9500,CLE@CAR,CAR,CLE,,,,,,RB/FLEX
79963-80001,RB,Austin,Austin Ekeler,Ekeler,19.299999237060547,16,9400,LV@LAC,LAC,LV,,,,,,RB/FLEX
79963-57439,QB,Patrick,Patrick Mahomes,Mahomes,23.782000732421874,20,8700,KC@ARI,KC,ARI,,,,,,QB
79963-62239,QB,Josh,Josh Allen,Allen,26.02421007658306,19,8700,BUF@LAR,BUF,LAR,,,,,,QB
79963-45889,WR,Davante,Davante Adams,Adams,17.42941104664522,17,8500,LV@LAC,LV,LAC,,,,,,WR/FLEX
79963-42104,RB,Alvin,Alvin Kamara,Kamara,16.246153611403244,13,8500,NO@ATL,NO,ATL,,,,,,RB/FLEX
79963-63115,QB,Lamar,Lamar Jackson,Jackson,21.081666310628254,12,8500,BAL@NYJ,BAL,NYJ,,,,,,QB
79963-56018,WR,Deebo,Deebo Samuel,Samuel,18.239999871504935,19,8400,SF@CHI,SF,CHI,Q,Knee,,,,WR/FLEX
79963-54140,RB,Dalvin,Dalvin Cook,Cook,14.561538696289062,13,8400,GB@MIN,MIN,GB,,,,,,RB/FLEX
79963-69189,QB,Justin,Justin Herbert,Herbert,23.28000057444853,17,8400,LV@LAC,LAC,LV,,,,,,QB
79963-52442,RB,Joe,Joe Mixon,Mixon,16.152000427246094,20,8300,PIT@CIN,CIN,PIT,,,,,,RB/FLEX
79963-90575,RB,Najee,Najee Harris,Harris,14.75,18,8200,PIT@CIN,PIT,CIN,,,,,,RB/FLEX
79963-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,15.361905052548362,21,8200,PIT@CIN,CIN,PIT,,,,,,WR/FLEX
79963-63484,QB,Kyler,Kyler Murray,Murray,21.103999837239584,15,8200,KC@ARI,ARI,KC,,,,,,QB
79963-85671,WR,Justin,Justin Jefferson,Jefferson,16.258823170381433,17,8100,GB@MIN,MIN,GB,,,,,,WR/FLEX
79963-33076,TE,Travis,Travis Kelce,Kelce,14.751578883120889,19,8000,KC@ARI,KC,ARI,,,,,,TE/FLEX
79963-32384,WR,Mike,Mike Evans,Evans,14.977778116861979,18,8000,TB@DAL,TB,DAL,,,,,,WR/FLEX
79963-69531,QB,Jalen,Jalen Hurts,Hurts,21.21125030517578,16,8000,PHI@DET,PHI,DET,,,,,,QB
79963-52436,TE,Mark,Mark Andrews,Andrews,14.564706241383272,17,7900,BAL@NYJ,BAL,NYJ,,,,,,TE/FLEX
79963-53562,RB,Nick,Nick Chubb,Chubb,14.664285932268415,14,7800,CLE@CAR,CLE,CAR,,,,,,RB/FLEX
79963-6498,QB,Tom,Tom Brady,Brady,22.091578433388158,19,7800,TB@DAL,TB,DAL,,,,,,QB
79963-6894,QB,Aaron,Aaron Rodgers,Rodgers,20.341175752527572,17,7800,GB@MIN,GB,MIN,,,,,,QB
79963-53681,WR,Tyreek,Tyreek Hill,Hill,14.939999389648438,20,7700,NE@MIA,MIA,NE,,,,,,WR/FLEX
79963-40687,RB,James,James Conner,Conner,15.506250381469727,16,7700,KC@ARI,ARI,KC,,,,,,RB/FLEX
79963-63336,QB,Joe,Joe Burrow,Burrow,19.777000427246094,20,7700,PIT@CIN,CIN,PIT,Q,Appendix,,,,QB
79963-25079,WR,Stefon,Stefon Diggs,Diggs,12.931578786749588,19,7600,BUF@LAR,BUF,LAR,,,,,,WR/FLEX
79963-86631,WR,CeeDee,CeeDee Lamb,Lamb,11.552940817440257,17,7600,TB@DAL,DAL,TB,Q,Foot,,,,WR/FLEX
79963-31716,QB,Dak,Dak Prescott,Prescott,20.730589025160846,17,7600,TB@DAL,DAL,TB,,,,,,QB
