QB,RB,RB,WR,WR,WR,TE,FLEX,DEF
84373-38435,84373-63759,84373-91598,84373-85671,84373-63043,84373-90561,84373-91931,84373-103252,84373-12547
84373-38435,84373-63759,84373-91598,84373-85671,84373-90576,84373-39716,84373-91931,84373-103252,84373-12547
84373-38435,84373-91598,84373-103252,84373-85671,84373-103564,84373-90576,84373-91931,84373-90561,84373-12547
84373-38435,84373-63759,84373-103252,84373-85671,84373-103564,84373-63043,84373-91931,84373-90561,84373-12547
84373-38435,84373-63759,84373-103252,84373-85671,84373-103564,84373-90576,84373-91931,84373-39716,84373-12547
84373-38435,84373-63759,84373-91598,84373-85671,84373-90561,84373-39716,84373-86244,84373-103252,84373-12547
84373-38435,84373-63759,84373-55830,84373-85671,84373-103564,84373-90561,84373-91931,84373-103252,84373-12547
84373-38435,84373-63759,84373-91598,84373-85671,84373-63043,84373-39716,84373-91931,84373-103252,84373-12547
84373-38435,84373-63759,84373-55830,84373-85671,84373-90576,84373-90561,84373-91931,84373-39716,84373-12547
84373-22038,84373-63759,84373-91598,84373-85671,84373-90561,84373-39716,84373-91931,84373-103252,84373-12547
84373-38435,84373-63759,84373-91598,84373-85671,84373-103564,84373-90561,84373-41872,84373-103252,84373-12547
84373-38435,84373-91598,84373-55830,84373-85671,84373-103564,84373-90561,84373-91931,84373-39716,84373-12547
84373-38435,84373-63759,84373-103252,84373-85671,84373-103564,84373-90561,84373-86244,84373-39716,84373-12547
84373-38435,84373-63759,84373-91598,84373-85671,84373-90576,84373-90561,84373-41872,84373-39716,84373-12547
84373-70051,84373-63759,84373-91598,84373-85671,84373-90576,84373-90561,84373-91931,84373-103252,84373-12547
84373-38435,84373-63759,84373-91598,84373-85671,84373-63043,84373-90561,84373-91931,84373-110246,84373-12547
