QB,RB,RB,WR,WR,WR,TE,FLEX,DEF
84669-69531,84669-42104,84669-90575,84669-90576,84669-39829,84669-87770,84669-60451,84669-41305,84669-12531
84669-69531,84669-42104,84669-103252,84669-90576,84669-39829,84669-41305,84669-60451,84669-90575,84669-12531
84669-69531,84669-71845,84669-90575,84669-90576,84669-39829,84669-87770,84669-60451,84669-41305,84669-12531
84669-69531,84669-71845,84669-42104,84669-39829,84669-87770,84669-41305,84669-60451,84669-90575,84669-12525
84669-69531,84669-42104,84669-90575,84669-90576,84669-39829,84669-87770,84669-91931,84669-41305,84669-12525
84669-69531,84669-71845,84669-42104,84669-90576,84669-39829,84669-41305,84669-60451,84669-90575,84669-12525
84669-69531,84669-71845,84669-42104,84669-90576,84669-87770,84669-41305,84669-60451,84669-90575,84669-12525
84669-69531,84669-42104,84669-103252,84669-90576,84669-39829,84669-87770,84669-60451,84669-41305,84669-12525
84669-69531,84669-71845,84669-103252,84669-39829,84669-87770,84669-41305,84669-60451,84669-90575,84669-12531
84669-69531,84669-42104,84669-38791,84669-39829,84669-87770,84669-41305,84669-60451,84669-90575,84669-12531
84669-69531,84669-103252,84669-90575,84669-90576,84669-39829,84669-87770,84669-91931,84669-41305,84669-12531
84669-69531,84669-71845,84669-103252,84669-90576,84669-39829,84669-41305,84669-60451,84669-90575,84669-12531
84669-69531,84669-71845,84669-103252,84669-90576,84669-87770,84669-41305,84669-60451,84669-90575,84669-12531
84669-69531,84669-42104,84669-38791,84669-90576,84669-87770,84669-41305,84669-60451,84669-90575,84669-12531
84669-69531,84669-42104,84669-103252,84669-39829,84669-87770,84669-41305,84669-91931,84669-90575,84669-12525
84669-69531,84669-42104,84669-103252,84669-90576,84669-39829,84669-41305,84669-91931,84669-90575,84669-12525
