QB,RB,RB,WR,WR,WR,TE,FLEX,DEF,,
84964-57439,84964-42104,84964-103342,84964-73048,84964-63819,84964-32243,84964-71706,84964-70603,84964-12530,,Original
84964-57439,84964-87787,84964-103342,84964-73048,84964-63819,84964-33047,84964-71706,84964-70603,84964-12530,,Original
84964-57439,84964-63759,84964-103342,84964-73048,84964-63819,84964-33047,84964-71706,84964-32243,84964-12530,,Original
84964-57439,84964-63759,84964-42104,84964-63043,84964-63819,84964-32243,84964-71706,84964-70603,84964-12530,,Original
84964-57439,84964-42104,84964-87787,84964-73048,84964-33047,84964-32243,84964-71706,84964-70603,84964-12530,,Original
84964-57439,84964-39280,84964-70603,84964-112745,84964-63819,84964-33047,84964-71706,84964-32243,84964-12530,,Original
84964-57439,84964-42104,84964-103342,84964-73048,84964-112745,84964-63819,84964-71706,84964-32243,84964-12530,,Original
84964-57439,84964-103342,84964-70603,84964-73048,84964-63043,84964-63819,84964-71706,84964-33047,84964-12530,,Original
84964-57439,84964-39280,84964-42104,84964-63819,84964-33047,84964-32243,84964-57338,84964-70603,84964-12530,,Original
84964-57439,84964-87787,84964-103342,84964-73048,84964-63819,84964-32243,84964-52436,84964-70603,84964-12530,,Original
84964-57439,84964-54608,84964-87787,84964-73048,84964-63819,84964-32243,84964-71706,84964-70603,84964-12530,,Original
84964-57439,84964-63759,84964-87787,84964-63043,84964-63819,84964-32243,84964-71706,84964-103342,84964-12530,,Original
84964-57439,84964-63759,84964-42104,84964-63043,84964-63819,84964-32243,84964-71706,84964-70603,84964-12529,,DEF Holdout
84964-57439,84964-42104,84964-87787,84964-63043,84964-63819,84964-32243,84964-71706,84964-103342,84964-12529,,DEF Holdout
84964-57439,84964-63759,84964-87787,84964-63043,84964-63819,84964-32243,84964-52436,84964-70603,84964-12529,,DEF Holdout
84964-57439,84964-42104,84964-87787,84964-63043,84964-63819,84964-32243,84964-71706,84964-103342,84964-12536,,DEF Holdout
84964-57439,84964-63759,84964-103342,84964-63043,84964-63819,84964-32243,84964-52436,84964-70603,84964-12529,,DEF Holdout
84964-57439,84964-87787,84964-103342,84964-73048,84964-63819,84964-32243,84964-71706,84964-70603,84964-12536,,DEF Holdout
84964-57439,84964-63759,84964-87787,84964-63043,84964-63819,84964-33047,84964-71706,84964-70603,84964-12529,,DEF Holdout
84964-57439,84964-42104,84964-87787,84964-73048,84964-33047,84964-32243,84964-71706,84964-70603,84964-12529,,DEF Holdout
84964-57439,84964-42104,84964-103342,84964-73048,84964-33047,84964-32243,84964-71706,84964-70603,84964-12529,,DEF Holdout
84964-57439,84964-63759,84964-87787,84964-63043,84964-33047,84964-32243,84964-71706,84964-103342,84964-12529,,DEF Holdout
84964-57439,84964-63759,84964-54608,84964-63043,84964-63819,84964-32243,84964-71706,84964-70603,84964-12529,,DEF Holdout
84964-57439,84964-54608,84964-87787,84964-63043,84964-63819,84964-32243,84964-71706,84964-103342,84964-12529,,DEF Holdout
84964-62239,84964-87787,84964-103342,84964-73048,84964-63819,84964-32243,84964-71706,84964-70603,84964-12530,,QB Holdout
84964-62239,84964-103342,84964-70603,84964-73048,84964-63043,84964-63819,84964-71706,84964-32243,84964-12530,,QB Holdout
84964-91591,84964-39280,84964-42104,84964-112745,84964-63819,84964-32243,84964-71706,84964-70603,84964-12530,,QB Holdout
84964-91591,84964-63759,84964-42104,84964-73048,84964-63819,84964-32243,84964-71706,84964-103342,84964-12530,,QB Holdout
84964-91591,84964-39280,84964-63759,84964-63819,84964-33047,84964-32243,84964-71706,84964-70603,84964-12530,,QB Holdout
84964-91591,84964-39280,84964-87787,84964-112745,84964-63819,84964-32243,84964-71706,84964-103342,84964-12530,,QB Holdout
84964-91591,84964-39280,84964-103342,84964-73048,84964-63819,84964-32243,84964-57338,84964-70603,84964-12530,,QB Holdout
84964-91591,84964-63759,84964-42104,84964-73048,84964-63819,84964-32243,84964-71706,84964-87787,84964-12530,,QB Holdout
