Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
97609-84669,PG,Luka,Luka Doncic,Doncic,57.62692495492789,26,12500,SA@DAL,DAL,SA,,,,,,PG
97609-55062,C,Nikola,Nikola Jokic,Jokic,58.9862060546875,29,12200,DEN@CHA,DEN,CHA,,,,,,C
97609-84680,PG,Shai,Shai Gilgeous-Alexander,Gilgeous-Alexander,55.852001953125,25,11800,LAL@OKC,OKC,LAL,,,,,,PG
97609-15755,PF/C,Anthony,Anthony Davis,Davis,52.803701895254626,27,11200,LAL@OKC,LAL,OKC,GTD,Ankle,,,,PF/C
97609-145337,PG,Tyrese,Tyrese Haliburton,Haliburton,48.820831298828125,24,10400,ORL@IND,IND,ORL,,,,,,PG
97609-66113,SG/PG,Donovan,Donovan Mitchell,Mitchell,46.8681807084517,22,10300,CLE@CHI,CLE,CHI,O,Illness,,,,PG/SG
97609-9488,SF/PF,LeBron,LeBron James,James,48.56538273737981,26,10300,LAL@OKC,LAL,OKC,GTD,Ankle,,,,SF/PF
97609-188414,PF/C,Victor,Victor Wembanyama,Wembanyama,45.1839990234375,25,10200,SA@DAL,SA,DAL,,,,,,PF/C
97609-84671,PG,Trae,Trae Young,Young,48.71538367638221,26,10000,MEM@ATL,ATL,MEM,,,,,,PG
97609-110344,PG,Ja,Ja Morant,Morant,46.599998474121094,2,9700,MEM@ATL,MEM,ATL,,,,,,PG
97609-42677,SG/PG,Terry,Terry Rozier,Rozier,40.94705738740809,17,9600,DEN@CHA,CHA,DEN,GTD,Knee,,,,PG/SG
97609-157822,PF/SF,Scottie,Scottie Barnes,Barnes,46.167855398995535,28,9500,UTA@TOR,TOR,UTA,,,,,,SF/PF
97609-24247,PG,Fred,Fred VanVleet,VanVleet,39.2360009765625,25,9100,HOU@NO,HOU,NO,,,,,,PG
97609-145485,PG,LaMelo,LaMelo Ball,Ball,44.5933349609375,15,9000,DEN@CHA,CHA,DEN,O,Ankle,,,,PG
97609-9524,PG,Stephen,Stephen Curry,Curry,40.55384709284856,26,8900,POR@GS,GS,POR,,,,,,PG
97609-157808,PG/SG,Cade,Cade Cunningham,Cunningham,37.82856968470982,28,8700,DET@BKN,DET,BKN,,,,,,PG/SG
97609-171759,C,Chet,Chet Holmgren,Holmgren,39.200000469501205,26,8600,LAL@OKC,OKC,LAL,,,,,,C
97609-145334,SG/SF,Desmond,Desmond Bane,Bane,40.33461350661058,26,8600,MEM@ATL,MEM,ATL,,,,,,SG/SF
97609-60021,PF,Pascal,Pascal Siakam,Siakam,37.596426827566965,28,8500,UTA@TOR,TOR,UTA,,,,,,PF
97609-14498,PG/SG,Kyrie,Kyrie Irving,Irving,38.55294261259191,17,8500,SA@DAL,DAL,SA,O,Heel,,,,PG/SG
97609-157908,C,Alperen,Alperen Sengun,Sengun,41.21538367638221,26,8500,HOU@NO,HOU,NO,,,,,,C
97609-66048,SF/PF,Brandon,Brandon Ingram,Ingram,36.98846200796274,26,8400,HOU@NO,NO,HOU,,,,,,SF/PF
97609-14514,C,Nikola,Nikola Vucevic,Vucevic,37.026668294270834,30,8400,CLE@CHI,CHI,CLE,,,,,,C
97609-9714,SF,DeMar,DeMar DeRozan,DeRozan,39.06428745814732,28,8400,CLE@CHI,CHI,CLE,,,,,,SF
97609-84683,PF/C,Jaren,Jaren Jackson,Jackson,36.39629674840857,27,8300,MEM@ATL,MEM,ATL,,,,,,PF/C
97609-84717,SG/PG,Anfernee,Anfernee Simons,Simons,40.122222900390625,9,8300,POR@GS,POR,GS,,,,,,PG/SG
97609-110326,PG,Coby,Coby White,White,31.176666259765625,30,8200,CLE@CHI,CHI,CLE,,,,,,PG
97609-80812,PF/SF,Lauri,Lauri Markkanen,Markkanen,39.1368408203125,19,8200,UTA@TOR,UTA,TOR,,,,,,SF/PF
97609-66108,PG,Jamal,Jamal Murray,Murray,34.71875,16,8000,DEN@CHA,DEN,CHA,,,,,,PG
97609-14503,C,Jonas,Jonas Valanciunas,Valanciunas,34.3310336408944,29,8000,HOU@NO,NO,HOU,,,,,,C
97609-171770,PF/SF,Paolo,Paolo Banchero,Banchero,37.192593044704864,27,8000,ORL@IND,ORL,IND,,,,,,SF/PF
97609-19067,PG/SG,CJ,CJ McCollum,McCollum,38.5,16,7900,HOU@NO,NO,HOU,,,,,,PG/SG
97609-84678,SF,Miles,Miles Bridges,Bridges,34.833333333333336,15,7800,DEN@CHA,CHA,DEN,,,,,,SF
97609-110310,PF,Zion,Zion Williamson,Williamson,37.39565111243206,23,7800,HOU@NO,NO,HOU,,,,,,PF
97609-171777,C,Walker,Walker Kessler,Kessler,28.25238037109375,21,7800,UTA@TOR,UTA,TOR,,,,,,C
97609-67708,SG/PG,Dejounte,Dejounte Murray,Murray,37.25,28,7700,MEM@ATL,ATL,MEM,GTD,Forearm,,,,PG/SG
97609-157845,PF/C,Evan,Evan Mobley,Mobley,38.07142857142857,21,7700,CLE@CHI,CLE,CHI,O,Knee,,,,PF/C
97609-157851,SF,Franz,Franz Wagner,Wagner,35.674074526186345,27,7600,ORL@IND,ORL,IND,,,,,,SF
97609-84667,SG/PG,Collin,Collin Sexton,Sexton,24.1793107657597,29,7600,UTA@TOR,UTA,TOR,,,,,,PG/SG
97609-58253,C,Myles,Myles Turner,Turner,34.56153752253606,26,7600,ORL@IND,IND,ORL,,,,,,C
97609-84670,SG/SF,Mikal,Mikal Bridges,Bridges,35.107142857142854,28,7500,DET@BKN,BKN,DET,,,,,,SG/SF
97609-110342,PG,Darius,Darius Garland,Garland,34.45,20,7500,CLE@CHI,CLE,CHI,O,Jaw,,,,PG
97609-80821,C/PF,Jarrett,Jarrett Allen,Allen,29.73333231608073,24,7500,CLE@CHI,CLE,CHI,,,,,,PF/C
97609-84673,C,Deandre,Deandre Ayton,Ayton,31.800001061480977,23,7400,POR@GS,POR,GS,,,,,,C
