Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
96345-62239,QB,Josh,Josh Allen,Allen,23.55454600941051,11,9200,BUF@PHI,BUF,PHI,,,,,,QB
96345-72846,WR,A.J.,A.J. Brown,Brown,17.13000030517578,10,8800,BUF@PHI,PHI,BUF,,,,,,WR/FLEX
96345-69531,QB,Jalen,Jalen Hurts,Hurts,23.33800048828125,10,8800,BUF@PHI,PHI,BUF,,,,,,QB
96345-57439,QB,Patrick,Patrick Mahomes,Mahomes,19.736000061035156,10,8700,KC@LV,KC,LV,,,,,,QB
96345-42104,RB,Alvin,Alvin Kamara,Kamara,16.900000435965403,7,8700,NO@ATL,NO,ATL,,,,,,RB/FLEX
96345-25079,WR,Stefon,Stefon Diggs,Diggs,15.454545454545455,11,8700,BUF@PHI,BUF,PHI,,,,,,WR/FLEX
96345-89956,RB,Travis,Travis Etienne Jr.,Etienne Jr.,16.31999969482422,10,8600,JAC@HOU,JAC,HOU,,,,,,RB/FLEX
96345-33076,TE,Travis,Travis Kelce,Kelce,13.788888719346788,9,8300,KC@LV,KC,LV,,,,,,TE/FLEX
96345-103020,WR,Puka,Puka Nacua,Nacua,14.330000305175782,10,8200,LAR@ARI,LAR,ARI,,,,,,WR/FLEX
96345-104433,RB,Kyren,Kyren Williams,Williams,17.433333079020183,6,8200,LAR@ARI,LAR,ARI,,,,,,RB/FLEX
96345-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,15.419999694824218,10,8100,PIT@CIN,CIN,PIT,,,,,,WR/FLEX
96345-79970,WR,Cooper,Cooper Kupp,Kupp,9.583333333333334,6,8000,LAR@ARI,LAR,ARI,,,,,,WR/FLEX
96345-32384,WR,Mike,Mike Evans,Evans,14.4,10,8000,TB@IND,TB,IND,,,,,,WR/FLEX
96345-64401,RB,Saquon,Saquon Barkley,Barkley,15.350000381469727,8,8000,NE@NYG,NYG,NE,,,,,,RB/FLEX
96345-63484,QB,Kyler,Kyler Murray,Murray,20.459999084472656,2,8000,LAR@ARI,ARI,LAR,,,,,,QB
96345-129291,WR,Tank,Tank Dell,Dell,14.088889227973091,9,7800,JAC@HOU,HOU,JAC,,,,,,WR/FLEX
96345-39280,RB,Derrick,Derrick Henry,Henry,12.108000183105469,10,7800,CAR@TEN,TEN,CAR,,,,,,RB/FLEX
96345-89951,QB,Trevor,Trevor Lawrence,Lawrence,16.12799987792969,10,7800,JAC@HOU,JAC,HOU,,,,,,QB
96345-129471,QB,C.J.,C.J. Stroud,Stroud,19.647999572753907,10,7700,JAC@HOU,HOU,JAC,,,,,,QB
96345-45889,WR,Davante,Davante Adams,Adams,11.827273282137783,11,7700,KC@LV,LV,KC,,,,,,WR/FLEX
96345-52442,RB,Joe,Joe Mixon,Mixon,12.480000305175782,10,7600,PIT@CIN,CIN,PIT,,,,,,RB/FLEX
96345-69213,WR,Michael,Michael Pittman Jr.,Pittman Jr.,12.069999694824219,10,7600,TB@IND,IND,TB,,,,,,WR/FLEX
96345-89675,RB,Jonathan,Jonathan Taylor,Taylor,12,6,7500,TB@IND,IND,TB,,,,,,RB/FLEX
96345-39716,WR,Adam,Adam Thielen,Thielen,13.719999694824219,10,7500,CAR@TEN,CAR,TEN,,,,,,WR/FLEX
96345-90576,WR,DeVonta,DeVonta Smith,Smith,11.11999969482422,10,7400,BUF@PHI,PHI,BUF,,,,,,WR/FLEX
96345-136855,RB,Bijan,Bijan Robinson,Robinson,11.65,10,7400,NO@ATL,ATL,NO,,,,,,RB/FLEX
96345-87770,WR,Chris,Chris Olave,Olave,11.169999694824218,10,7300,NO@ATL,NO,ATL,,,,,,WR/FLEX
96345-70603,RB,Devin,Devin Singletary,Singletary,7.523999786376953,10,7300,JAC@HOU,HOU,JAC,,,,,,RB/FLEX
96345-16606,WR,DeAndre,DeAndre Hopkins,Hopkins,11.05,10,7200,CAR@TEN,TEN,CAR,,,,,,WR/FLEX
96345-91598,RB,D'Andre,D'Andre Swift,Swift,13.319999694824219,10,7200,BUF@PHI,PHI,BUF,,,,,,RB/FLEX
96345-72731,RB,Josh,Josh Jacobs,Jacobs,12.37272782759233,11,7100,KC@LV,LV,KC,,,,,,RB/FLEX
96345-64555,WR,Calvin,Calvin Ridley,Ridley,10.519999694824218,10,7100,JAC@HOU,JAC,HOU,,,,,,WR/FLEX
96345-31001,WR,Amari,Amari Cooper,Cooper,10.94000015258789,10,7000,CLE@DEN,CLE,DEN,,,,,,WR/FLEX
96345-22015,QB,Russell,Russell Wilson,Wilson,17.18000030517578,10,7000,CLE@DEN,DEN,CLE,,,,,,QB
96345-137902,RB,Rachaad,Rachaad White,White,12.980000305175782,10,7000,TB@IND,TB,IND,Q,Knee,,,,RB/FLEX
96345-91419,WR,Nico,Nico Collins,Collins,11.509999847412109,10,6900,JAC@HOU,HOU,JAC,,,,,,WR/FLEX
96345-112057,RB,Jaylen,Jaylen Warren,Warren,10.769999694824218,10,6900,PIT@CIN,PIT,CIN,,,,,,RB/FLEX
96345-6654,QB,Matthew,Matthew Stafford,Stafford,12.930000305175781,10,6900,LAR@ARI,LAR,ARI,,,,,,QB
96345-24849,QB,Jameis,Jameis Winston,Winston,2.7040000915527345,5,6800,NO@ATL,NO,ATL,,,,,,QB
96345-60858,WR,Christian,Christian Kirk,Kirk,10.776000213623046,10,6800,JAC@HOU,JAC,HOU,,,,,,WR/FLEX
96345-41535,QB,Baker,Baker Mayfield,Mayfield,16.546000671386718,10,6800,TB@IND,TB,IND,,,,,,QB
96345-55042,TE,Dalton,Dalton Schultz,Schultz,9.280000305175781,10,6800,JAC@HOU,HOU,JAC,,,,,,TE/FLEX
96345-45859,QB,Derek,Derek Carr,Carr,12.654000091552735,10,6800,NO@ATL,NO,ATL,,,,,,QB
96345-111540,RB,Rhamondre,Rhamondre Stevenson,Stevenson,10.509999847412109,10,6800,NE@NYG,NE,NYG,,,,,,RB/FLEX
96345-57403,WR,Courtland,Courtland Sutton,Sutton,11.44000015258789,10,6700,CLE@DEN,DEN,CLE,,,,,,WR/FLEX
96345-86243,QB,Will,Will Levis,Levis,13.944999694824219,4,6700,CAR@TEN,TEN,CAR,,,,,,QB
96345-61798,QB,Gardner,Gardner Minshew II,Minshew II,11.47111087375217,9,6700,TB@IND,IND,TB,,,,,,QB
96345-90533,RB,Jerome,Jerome Ford,Ford,11.269999694824218,10,6700,CLE@DEN,CLE,DEN,,,,,,RB/FLEX
96345-90575,RB,Najee,Najee Harris,Harris,8.9,10,6700,PIT@CIN,PIT,CIN,,,,,,RB/FLEX
96345-63634,WR,Jakobi,Jakobi Meyers,Meyers,11.19000015258789,10,6600,KC@LV,LV,KC,,,,,,WR/FLEX
96345-86278,QB,Desmond,Desmond Ridder,Ridder,11.65,10,6600,NO@ATL,ATL,NO,,,,,,QB
96345-92575,RB,Isiah,Isiah Pacheco,Pacheco,11.40999984741211,10,6600,KC@LV,KC,LV,,,,,,RB/FLEX
96345-60840,QB,Jake,Jake Browning,Browning,2.1239999771118163,5,6600,PIT@CIN,CIN,PIT,,,,,,QB
96345-94748,QB,Tommy,Tommy DeVito,DeVito,13.734999656677246,4,6600,NE@NYG,NYG,NE,,,,,,QB
96345-40687,RB,James,James Conner,Conner,10,7,6600,LAR@ARI,ARI,LAR,,,,,,RB/FLEX
96345-119606,QB,Bryce,Bryce Young,Young,11.680000305175781,9,6600,CAR@TEN,CAR,TEN,,,,,,QB
96345-90584,QB,Mac,Mac Jones,Jones,11.683999633789062,10,6500,NE@NYG,NE,NYG,,,,,,QB
96345-91626,RB,James,James Cook,Cook,11.218181956898082,11,6500,BUF@PHI,BUF,PHI,,,,,,RB/FLEX
96345-45565,TE,Taysom,Taysom Hill,Hill,8.387999725341796,10,6500,NO@ATL,NO,ATL,,,,,,TE/FLEX
96345-86687,WR,Marquise,Marquise Brown,Brown,8.854545593261719,11,6500,LAR@ARI,ARI,LAR,Q,Heel,,,,WR/FLEX
96345-110246,WR,George,George Pickens,Pickens,9.84000015258789,10,6500,PIT@CIN,PIT,CIN,,,,,,WR/FLEX
96345-139985,QB,Bailey,Bailey Zappe,Zappe,0.7900000214576721,4,6500,NE@NYG,NE,NYG,,,,,,QB
96345-92020,QB,Kenny,Kenny Pickett,Pickett,9.94800033569336,10,6500,PIT@CIN,PIT,CIN,,,,,,QB
96345-93382,QB,Aidan,Aidan O'Connell,O'Connell,7.790000279744466,6,6400,KC@LV,LV,KC,,,,,,QB
96345-54604,QB,Jimmy,Jimmy Garoppolo,Garoppolo,10.442856924874443,7,6400,KC@LV,LV,KC,,,,,,QB
96345-55635,WR,Chris,Chris Godwin,Godwin,9.05,10,6400,TB@IND,TB,IND,,,,,,WR/FLEX
