Nickname,NF Suffix,FanDuel Nickname
Desmond Bane,desmond-bane-1,Desmond Bane
De'Aaron Fox,de-aaron-fox,De'Aaron Fox
Jaren Jackson Jr.,jaren-jackson-jr,Jaren Jackson
Cam Thomas,cameron-thomas,Cam Thomas
Michael Porter Jr.,michael-porter-jr,Michael Porter
D'Angelo Russell,d-angelo-russell,D'Angelo Russell
Tim Hardaway Jr.,tim-hardaway-jr,Tim Hardaway
Jabari Smith Jr.,jabari-smith,Jabari Smith
De'Andre Hunter,de-andre-hunter,De'Andre Hunter
CJ McCollum,c-j-mccollum,CJ McCollum
Russell Westbrook III,russell-westbrook,Russell Westbrook
Bruce Brown Jr.,bruce-brown-jr,Bruce Brown
Gary Trent Jr.,gary-trent-jr,Gary Trent
Nic Claxton,nicolas-claxton,Nic Claxton
P.J. Washington Jr.,pj-washington,P.J. Washington
Bobby Portis Jr.,bobby-portis,Bobby Portis
Trey Murphy III,trey-murphy-iii,Trey Murphy
De'Anthony Melton,de-anthony-melton,De'Anthony Melton
Kelly Oubre Jr.,kelly-oubre,Kelly Oubre
Bones Hyland,nah-shon-hyland,Bones Hyland
Marvin Bagley III,marvin-bagley-iii,Marvin Bagley
Jaime Jaquez Jr.,jaime-jaquez-jr,Jaime Jaquez
Royce O'Neale,royce-o-neale,Royce O'Neale
Craig Porter Jr.,craig-porter-jr,Craig Porter
Jae'Sean Tate,jae-sean-tate,Jae'Sean Tate
Derrick Jones Jr.,derrick-jones-jr,Derrick Jones
Sasha Vezenkov,sasha-vezenkov,Sasha Vezenkov
Vince Williams Jr.,vince-williams-jr,Vince Williams
Josh Christopher,josh-christopher,Josh Christopher
T.J. McConnell,t-j-mcconnell,T.J. McConnell
Day'Ron Sharpe,day-ron-sharpe,Day'Ron Sharpe
Xavier Tillman Sr.,xavier-tillman,Xavier Tillman
Kevin Knox II,kevin-knox-ii,Kevin Knox
Harry Giles III,harry-giles-iii,Harry Giles III
Brandon Boston Jr.,brandon-boston-jr,Brandon Boston
Marcus Morris Sr.,marcus-morris,Marcus Morris
Nick Smith Jr.,nick-smith-jr,Nick Smith
KJ Martin Jr.,kj-martin-jr,KJ Martin Jr.
Wendell Carter Jr.,wendell-carter-jr,Wendell Carter
Dennis Smith Jr.,dennis-smith-jr.,Dennis Smith
Dereck Lively,dereck-lively,Dereck Lively
Larry Nance,larry-nance-jr,Larry Nance
GG Jackson,gregory-jackson,GG Jackson
A.J. Lawson,a-j-lawson,A.J. Lawson
A.J. Green,a-j-green,A.J. Green
Andre Jackson,andre-jackson-jr,Andre Jackson
Domantas Sabonis,domantas-sabonis,Domantas Sabonis
DeMar DeRozan,demar-derozan,DeMar DeRozan
Bam Adebayo,bam-adebayo,Bam Adebayo
Nikola Vucevic,nikola-vucevic,Nikola Vucevic
Tyler Herro,tyler-herro,Tyler Herro
Coby White,coby-white,Coby White
Brandon Ingram,brandon-ingram,Brandon Ingram
Terry Rozier,terry-rozier,Terry Rozier
Keegan Murray,keegan-murray,Keegan Murray
Trey Murphy,trey-murphy,Trey Murphy
Ayo Dosunmu,ayo-dosunmu,Ayo Dosunmu
Herbert Jones,herbert-jones,Herbert Jones
Jonas Valanciunas,jonas-valanciunas,Jonas Valanciunas
Javonte Green,javonte-green,Javonte Green
Keon Ellis,keon-ellis,Keon Ellis
Andre Drummond,andre-drummond,Andre Drummond
Alex Caruso,alex-caruso,Alex Caruso
Harrison Barnes,harrison-barnes,Harrison Barnes
Jaime Jaquez,jaime-jaquez,Jaime Jaquez
Haywood Highsmith,haywood-highsmith,Haywood Highsmith
Caleb Martin,caleb-martin,Caleb Martin
Delon Wright,delon-wright,Delon Wright
Kevin Love,kevin-love,Kevin Love
Jose Alvarado,jose-alvarado,Jose Alvarado
Duncan Robinson,duncan-robinson,Duncan Robinson
Nikola Jovic,nikola-jovic,Nikola Jovic
Trey Lyles,trey-lyles,Trey Lyles
Dalen Terry,dalen-terry,Dalen Terry
Naji Marshall,naji-marshall,Naji Marshall
Davion Mitchell,davion-mitchell,Davion Mitchell
Dyson Daniels,dyson-daniels,Dyson Daniels
Thomas Bryant,thomas-bryant,Thomas Bryant
Torrey Craig,torrey-craig,Torrey Craig
Alex Len,alex-len,Alex Len
Jordan Hawkins,jordan-hawkins,Jordan Hawkins
Adama Sanogo,adama-sanogo,Adama Sanogo
Jevon Carter,jevon-carter,Jevon Carter
Jeremiah Robinson-Earl,jeremiah-robinson-earl,Jeremiah Robinson-Earl
E.J. Liddell,e.j.-liddell,E.J. Liddell
Chris Duarte,chris-duarte,Chris Duarte
Kessler Edwards,kessler-edwards,Kessler Edwards
JaVale McGee,javale-mcgee,JaVale McGee
Izaiah Brockington,izaiah-brockington,Izaiah Brockington
Orlando Robinson,orlando-robinson,Orlando Robinson
Dereon Seabron,dereon-seabron,Dereon Seabron
Alondes Williams,alondes-williams,Alondes Williams
Patrick Williams,patrick-williams,Patrick Williams
Terry Taylor,terry-taylor,Terry Taylor
Colby Jones,colby-jones,Colby Jones
Cole Swider,cole-swider,Cole Swider
Jordan Ford,jordan-ford,Jordan Ford
Jalen Slawson,jalen-slawson,Jalen Slawson
Lonzo Ball,lonzo-ball,Lonzo Ball
Julian Phillips,julian-phillips,Julian Phillips
Onuralp Bitim,onuralp-bitim,Onuralp Bitim
Malik Monk,malik-monk,Malik Monk
Jimmy Butler,jimmy-butler,Jimmy Butler
Jamal Cain,jamal-cain,Jamal Cain
Andrew Funk,andrew-funk,Andrew Funk
Cody Zeller,cody-zeller,Cody Zeller
Zach LaVine,zach-lavine,Zach LaVine
Malcolm Hill,malcolm-hill,Malcolm Hill
Patty Mills,patrick-mills,Patty Mills
Kevin Huerter,kevin-huerter,Kevin Huerter
Zion Williamson,zion-williamson,Zion Williamson
Matt Ryan,matt-ryan,Matt Ryan
Mason Jones,mason-jones,Mason Jones
Josh Richardson,josh-richardson,Josh Richardson
Henri Drell,henri-drell,Henri Drell
Anthony Davis,anthony-davis,Anthony Davis
Shai Gilgeous-Alexander,shai-gilgeous-alexander,Shai Gilgeous-Alexander
Joel Embiid,joel-embiid,Joel Embiid
LeBron James,lebron-james,LeBron James
Tyrese Haliburton,tyrese-haliburton,Tyrese Haliburton
Miles Bridges,miles-bridges,Miles Bridges
Jaren Jackson,jaren-jackson,Jaren Jackson
Tyrese Maxey,tyrese-maxey,Tyrese Maxey
Deandre Ayton,deandre-ayton,Deandre Ayton
Stephen Curry,stephen-curry,Stephen Curry
Kyle Kuzma,kyle-kuzma,Kyle Kuzma
Pascal Siakam,pascal-siakam,Pascal Siakam
LaMelo Ball,lamelo-ball,LaMelo Ball
