QB,RB,RB,WR,WR,WR,TE,FLEX,DEF
97131-6654,97131-137902,97131-91626,97131-56018,97131-111311,97131-89455,97131-91750,97131-90933,97131-12539
97131-6654,97131-64401,97131-38791,97131-103020,97131-85798,97131-89455,97131-55335,97131-90933,97131-12542
97131-91591,97131-64401,97131-91626,97131-56018,97131-111311,97131-89455,97131-26355,97131-40442,97131-12542
97131-91591,97131-137902,97131-38791,97131-56018,97131-103020,97131-89455,97131-26355,97131-90933,97131-12539
97131-6654,97131-137902,97131-91626,97131-56018,97131-79970,97131-111311,97131-26355,97131-38791,97131-12553
97131-69017,97131-91626,97131-40442,97131-56018,97131-85798,97131-89455,97131-55335,97131-90933,97131-12525
97131-6654,97131-64401,97131-40442,97131-79970,97131-103564,97131-111311,97131-91750,97131-90933,97131-12539
97131-69017,97131-137902,97131-38791,97131-79970,97131-111311,97131-89455,97131-39793,97131-90933,97131-12542
97131-91591,97131-38791,97131-40442,97131-56018,97131-103020,97131-85798,97131-26355,97131-90933,97131-12525
97131-62239,97131-87467,97131-38791,97131-103020,97131-111311,97131-89455,97131-91750,97131-90933,97131-12536
97131-6654,97131-137902,97131-91626,97131-56018,97131-103020,97131-89455,97131-91750,97131-90933,97131-12553
97131-69017,97131-91626,97131-38791,97131-103020,97131-103564,97131-89455,97131-91750,97131-90933,97131-12539
97131-6654,97131-137902,97131-38791,97131-56018,97131-103564,97131-111311,97131-91750,97131-90933,97131-12542
97131-91591,97131-64401,97131-40442,97131-56018,97131-103564,97131-89455,97131-55335,97131-90933,97131-12539
97131-91591,97131-91626,97131-38791,97131-56018,97131-85798,97131-103564,97131-26355,97131-90933,97131-12542
97131-6654,97131-64401,97131-63759,97131-56018,97131-103564,97131-89455,97131-55335,97131-90933,97131-12539
97131-91591,97131-38791,97131-40442,97131-56018,97131-103020,97131-89455,97131-39793,97131-90933,97131-12525
97131-69017,97131-64401,97131-38791,97131-103020,97131-85798,97131-111311,97131-26355,97131-90933,97131-12525
97131-69017,97131-91626,97131-63759,97131-103020,97131-103564,97131-89455,97131-91750,97131-90933,97131-12542
97131-6654,97131-64401,97131-137902,97131-79970,97131-103564,97131-89455,97131-26355,97131-38791,97131-12542
